期号,开奖日期,前区1,前区2,前区3,前区4,前区5,后区1,后区2,后区出球顺序1,后区出球顺序2,前区出球顺序1,前区出球顺序2,前区出球顺序3,前区出球顺序4,前区出球顺序5,奖池余额,本期销量,一等奖注数,一等奖单注奖金,二等奖注数,二等奖单注奖金
26108,2026-09-21,01,05,07,21,35,01,04,05,01,21,07,35,04,01,845758402,296206851,3,10000000,85,320463
26107,2026-09-19,02,05,07,14,22,04,10,22,05,14,02,07,04,10,831053727,313508185,3,10000000,77,264830
26106,2026-09-16,14,17,21,25,28,04,06,25,17,21,28,14,06,04,826970066,290236360,3,10000000,71,200438
26105,2026-09-14,10,14,30,33,34,09,12,33,10,14,34,30,09,12,797986461,290941792,3,9415460,48,339276
26104,2026-09-12,01,06,14,15,26,08,09,01,26,15,06,14,09,08,768328090,316250501,7,6952434,110,128072
26103,2026-09-09,03,16,17,32,35,02,12,32,35,03,16,17,12,02,763164025,296391996,3,10000000,68,241603
26102,2026-09-07,01,03,07,27,28,06,07,27,28,07,01,03,06,07,725321799,291295536,1,10000000,183,57598
26101,2026-09-05,09,11,18,26,33,09,11,11,18,33,09,26,09,11,692723356,315133456,10,5927001,167,81242
26100,2026-09-02,02,06,11,15,31,07,08,02,15,06,31,11,08,07,728785802,293430528,6,6733541,109,129804
26099,2026-08-31,02,17,20,29,33,08,09,17,29,33,02,20,09,08,728556727,295696198,4,8305500,98,144001
26098,2026-08-29,07,09,18,19,21,02,09,21,19,09,18,07,02,09,706544163,315878206,15,5050505,211,46996
26097,2026-08-26,03,10,12,20,25,01,09,20,03,25,12,10,01,09,762988475,296031159,7,6840926,152,84016
26096,2026-08-24,08,09,10,11,25,04,12,11,10,09,25,08,12,04,760346715,300992176,9,6561952,222,57893
26095,2026-08-22,04,06,08,10,14,04,05,06,10,04,14,08,04,05,801693149,323275140,6,7103866,200,60688
26094,2026-08-19,05,14,15,17,33,01,07,14,05,33,17,15,01,07,795085879,305764076,3,8380751,89,174914
26093,2026-08-17,08,10,22,26,29,03,10,29,08,22,10,26,03,10,772986652,301981951,10,5848781,165,48915
26092,2026-08-15,12,16,19,29,33,07,09,12,19,16,33,29,09,07,822403232,326419006,4,9601645,97,194094
26091,2026-08-12,03,04,07,12,32,01,02,04,32,07,12,03,01,02,835359281,303722394,3,10000000,65,343183
26090,2026-08-10,09,14,17,19,24,02,09,17,09,24,19,14,02,09,825721619,298321791,2,10000000,93,155846
26089,2026-08-08,03,07,12,14,26,05,11,26,14,07,12,03,05,11,817996545,326458125,3,9058951,150,97508
26088,2026-08-05,03,09,11,24,27,05,11,09,27,03,24,11,05,11,792266898,305815169,2,9662603,160,74485
26087,2026-08-03,05,10,16,24,27,04,10,27,16,24,05,10,04,10,768406558,306098479,9,6547013,172,82652
26086,2026-08-01,10,11,18,22,35,06,12,11,10,35,18,22,06,12,813207389,327985310,2,10000000,121,129265
26085,2026-07-29,03,04,14,28,31,05,07,31,03,14,04,28,05,07,804161465,302145325,2,10000000,94,149583
26084,2026-07-27,13,25,30,32,33,04,05,25,32,13,30,33,04,05,770490757,300483424,8,6621689,81,153450
